Location_name,year,ISO_code,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
South Gloucestershire,2020,GB-SGC,-37.43302180685358,-12.925233644859814,42.801393728223,-42.01904761904762,-39.26813880126183,14.531446540880504
South Lanarkshire,2020,GB-SLK,-30.9375,-8.785046728971963,32.59040590405904,-36.2952380952381,-35.84591194968554,12.85981308411215
South Yorkshire,2020,GB-BNS,-38.797507788161994,-9.56386292834891,24.20608108108108,-27.95873015873016,-31.476635514018692,10.95638629283489
South Yorkshire,2020,GB-DNC,-34.41121495327103,-8.725856697819315,20.6722972972973,-45.52336448598131,-30.990654205607477,10.389408099688474
South Yorkshire,2020,GB-ROT,-30.411214953271028,-11.666666666666666,21.679054054054053,-32.333333333333336,-33.50155763239876,11.376947040498443
South Yorkshire,2020,GB-SHF,-43.97507788161994,-14.096573208722742,18.312292358803987,-47.98753894080997,-38.49221183800623,13.25233644859813
Southampton,2020,GB-STH,-46.040880503144656,-13.336477987421384,8.756756756756756,-45.43396226415094,-39.833333333333336,12.47962382445141
Southend-on-Sea,2020,GB-SOS,-36.692567567567565,-6.337837837837838,30.599078341013826,-46.29677419354839,-38.39047619047619,13.734545454545454
Staffordshire,2020,GB-STS,-35.03115264797508,-11.809968847352025,20.450511945392492,-30.797507788161994,-33.97196261682243,12.090342679127726
Stirling,2020,GB-STG,-42.858108108108105,-9.807432432432432,12.696864111498257,-46.41891891891892,-41.141891891891895,10.713235294117647
Stockton-on-Tees,2020,GB-STT,-35.47666666666667,-7.898989898989899,9.342105263157896,-31.777027027027028,-32.180952380952384,11.203333333333333
Stoke-on-Trent,2020,GB-STE,-38.40836012861736,-10.864779874213836,14.275303643724696,-44.51013513513514,-31.861635220125788,10.538940809968848
Suffolk,2020,GB-SFK,-36.81931464174455,-11.822429906542055,28.81081081081081,-29.58805031446541,-33.149532710280376,11.657320872274143
Surrey,2020,GB-SRY,-40.8006230529595,-15.962616822429906,18.76875,-45.10591900311527,-41.97507788161994,15.797507788161994
Swansea,2020,GB-SWA,-39.79611650485437,-15.282539682539683,21.958490566037735,-45.222972972972975,-38.546031746031744,12.528662420382165
Swindon,2020,GB-SWD,-39.94285714285714,-15.525157232704403,-9.326530612244898,-44.763513513513516,-35.768253968253966,13.097087378640778
Thurrock,2020,GB-THR,-37.414715719063544,-13.839464882943144,-2.097902097902098,-31.956810631229235,-35.65396825396825,12.42809364548495
Torbay,2020,GB-TOB,-32.195945945945944,-2.1216216216216215,44.47148288973384,-24.97972972972973,-32.32698412698413,9.932835820895523
Torfaen Principal Area,2020,GB-TOF,-38.4054054054054,-14.216216216216216,,-33.43050847457627,-33.96825396825397,12.727678571428571
Tyne and Wear,2020,GB-GAT,-37.93457943925234,-12.059190031152648,42.65068493150685,-35.71383647798742,-39.13084112149533,12.794392523364486
Tyne and Wear,2020,GB-NET,-51.21183800623053,-18.54517133956386,25.949324324324323,-52.10591900311527,-39.953271028037385,13.654205607476635
Tyne and Wear,2020,GB-NTY,-32.666666666666664,-9.133956386292835,0.07432432432432433,-39.028125,-39.53605015673981,13.28348909657321
Tyne and Wear,2020,GB-SND,-33.32710280373832,-8.797507788161994,21.405405405405407,-30.174454828660437,-35.21495327102804,11.414330218068535
Tyne and Wear,2020,GB-STY,-40.609271523178805,-5.733333333333333,29.87837837837838,-25.675675675675677,-37.515723270440255,11.690625
Vale of Glamorgan,2020,GB-VGL,-32.560810810810814,-8.858108108108109,14.190677966101696,-42.38513513513514,-38.4,14.511904761904763
Warrington,2020,GB-WRT,-37.51768488745981,-14.015822784810126,25.223021582733814,-40.861486486486484,-36.68571428571428,12.816393442622951
Warwickshire,2020,GB-WAR,-37.95638629283489,-10.806853582554517,23.45945945945946,-36.58878504672897,-37.11214953271028,13.654205607476635
West Berkshire,2020,GB-WBK,-41.067567567567565,-16.179054054054053,9.52027027027027,-40.366883116883116,-41.076190476190476,16.699604743083004
West Dunbartonshire Council,2020,GB-WDU,-32.567567567567565,-7.516891891891892,-60.857142857142854,-33.11824324324324,-35.48253968253968,11.69
West Lothian,2020,GB-WLN,-34.19397993311037,-3.3817567567567566,-12.048192771084338,-40.457142857142856,-37.473015873015875,13.04040404040404
West Midlands,2020,GB-BIR,-43.218068535825545,-15.74766355140187,9.821316614420063,-51.585669781931465,-37.73520249221184,12.84423676012461
West Midlands,2020,GB-COV,-38.40498442367601,-12.669781931464174,22.405405405405407,-48.57943925233645,-38.47352024922118,12.728971962616823
West Midlands,2020,GB-DUD,-36.60747663551402,-9.64797507788162,15.087837837837839,-27.08176100628931,-35.47352024922118,12.236760124610592
West Midlands,2020,GB-SAW,-31.61682242990654,-10.373831775700934,32.11486486486486,-35.85669781931464,-33.875389408099686,11.46417445482866
West Midlands,2020,GB-SOL,-46.02803738317757,-11.710280373831775,32.777027027027025,-64.01246105919003,-40.60377358490566,14.647798742138365
